+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |accompanied         |5              |     |       |result              |1              |
|          |colossal            |5              |     |       |heavings            |1              |
|          |horrible            |5              |     |       |satirist            |1              |
|          |vapour              |5              |     |       |shining             |1              |
|          |mission             |5              |     |       |singer              |1              |
|          |posted              |5              |     |       |sun                 |1              |
|          |comparison          |5              |     |       |israfeli's          |1              |
|          |slipped             |5              |     |       |wondrous            |1              |
|          |surprised           |5              |     |       |facility            |1              |
|          |breadth             |5              |     |       |complete            |1              |
|          |impulse             |5              |     |       |definite            |1              |
|          |determined          |5              |     |       |rain                |1              |
|          |watching            |5              |     |       |drolatiques         |1              |
|          |grass               |5              |     |       |cease               |1              |
|          |utterly             |5              |     |       |climax              |1              |
|          |please              |5              |     |       |noblest             |1              |
|          |celebrated          |5              |     |       |infinite            |1              |
|          |fly                 |5              |     |       |waters              |1              |
|          |feared              |5              |     |       |claim               |1              |
|          |engaged             |5              |     |       |imperator           |1              |
|          |animation           |5              |     |       |brief               |1              |
|          |existed             |5              |     |       |rouget              |1              |
|          |meaning             |5              |     |       |journalism          |1              |
|          |mineralogist        |5              |     |       |goethe              |1              |
|          |powder              |5              |     |       |suffering           |1              |
|          |inhabitants         |5              |     |       |uttermost           |1              |
|          |concluded           |5              |     |       |corrupt             |1              |
|          |cut                 |5              |     |       |prototype           |1              |
|          |kalends             |5              |     |       |to-day              |1              |
|          |labyrinth           |5              |     |       |whence              |1              |
|          |flasks              |5              |     |       |authors             |1              |
|          |building            |5              |     |       |false               |1              |
|          |yellow              |5              |     |       |choose              |1              |
|          |lying               |5              |     |       |rooms               |1              |
|          |deepest             |5              |     |       |wind                |1              |
|          |delightful          |5              |     |       |rude                |1              |
|          |currents            |5              |     |       |glad                |1              |
|          |nerves              |5              |     |       |wing                |1              |
|          |sweet               |5              |     |       |atmosphere          |1              |
|          |believed            |5              |     |       |strayed             |1              |
|          |carriage            |5              |     |       |prevent             |1              |
|          |hesitation          |5              |     |       |director            |1              |
|          |sufficiently        |5              |     |       |soldier             |1              |
|          |unfathomable        |5              |     |       |shrine              |1              |
|          |doing               |5              |     |       |language            |1              |
|          |lofty               |5              |     |       |tap                 |1              |
|          |uniform             |5              |     |       |america             |1              |
|          |appearing           |5              |     |       |correspond          |1              |
|          |phrase              |5              |     |       |ensuring            |1              |
|          |flat                |5              |     |       |effective           |1              |
|          |eastern             |5              |     |       |title               |1              |
|          |gravity             |5              |     |       |dates               |1              |
|          |breaking            |5              |     |       |agreeing            |1              |
|          |devoured            |5              |     |       |giving              |1              |
|          |stopping            |5              |     |       |willis's            |1              |
|          |glaciers            |5              |     |       |purely              |1              |
|          |unpleasant          |5              |     |       |progressive         |1              |
|          |destroy             |5              |     |       |harmless            |1              |
|          |dry                 |5              |     |       |us—by               |1              |
|          |spirit              |5              |     |       |saint               |1              |
|          |inhabited           |5              |     |       |cares               |1              |
|          |wherever            |5              |     |       |gladiators          |1              |
|          |ropes               |5              |     |       |donald              |1              |
|          |suffer              |5              |     |       |victor              |1              |
|          |business            |5              |     |       |mishaps             |1              |
|          |torn                |5              |     |       |fall                |1              |
|          |labours             |5              |     |       |fine-grained        |1              |
|          |helm                |5              |     |       |wish                |1              |
|          |truly               |5              |     |       |lasting             |1              |
|          |clothed             |5              |     |       |fortune             |1              |
|          |worked              |5              |     |       |race                |1              |
|          |pick                |5              |     |       |croaking            |1              |
|          |softly              |5              |     |       |incidents           |1              |
|          |performing          |5              |     |       |fame                |1              |
|          |happened            |5              |     |       |requests            |1              |
|          |afterwards          |5              |     |       |turned              |1              |
|          |remark              |5              |     |       |stanzas             |1              |
|          |thickness           |5              |     |       |returns             |1              |
|          |attained            |5              |     |       |directly            |1              |
|          |located             |5              |     |       |linked              |1              |
|          |deeply              |5              |     |       |transcription       |1              |
|          |supposing           |5              |     |       |worm                |1              |
|          |poles               |5              |     |       |letter              |1              |
|          |fortunately         |5              |     |       |wire                |1              |
|          |piece               |5              |     |       |portal              |1              |
|          |mineralogy          |5              |     |       |throws              |1              |
|          |common              |5              |     |       |discover            |1              |
|          |treading            |5              |     |       |albert              |1              |
|          |absence             |5              |     |       |symbolic            |1              |
|          |crossing            |5              |     |       |heraldry            |1              |
|          |grow                |5              |     |       |sleight             |1              |
|          |rubbing             |5              |     |       |environment         |1              |
|          |created             |5              |     |       |company             |1              |
|          |conditions          |5              |     |       |beating             |1              |
|          |melancholy          |5              |     |       |manfred             |1              |
|          |utter               |5              |     |       |wore                |1              |
|          |reigned             |5              |     |       |caliban             |1              |
|          |bag                 |5              |     |       |marvelled           |1              |
|          |bad                 |5              |     |       |west                |1              |
|          |prodigious          |5              |     |       |feelings            |1              |
|          |required            |5              |     |       |allow               |1              |
|          |bid                 |5              |     |       |voice               |1              |
|          |dining-room         |5              |     |       |merely              |1              |
|          |sællvertu           |5              |     |       |pretty              |1              |
|          |belt                |5              |     |       |sphinx              |1              |
|          |children            |5              |     |       |fix                 |1              |
|          |arose               |5              |     |       |representations     |1              |
|          |raising             |5              |     |       |licensed            |1              |
|          |columns             |5              |     |       |perfect             |1              |
|          |blowing             |5              |     |       |fine                |1              |
|          |legs                |5              |     |       |wintry              |1              |
|          |seeing              |5              |     |       |profit              |1              |
|          |sensation           |5              |     |       |lordly              |1              |
|          |buried              |5              |     |       |rich                |1              |
|          |houses              |5              |     |       |love-lorn           |1              |
|          |correct             |5              |     |       |astral              |1              |
|          |caused              |5              |     |       |wreathéd            |1              |
|          |lest                |5              |     |       |nonproprietary      |1              |
|          |act                 |5              |     |       |admiration          |1              |
|          |harm                |5              |     |       |outer               |1              |
|          |thomsen             |5              |     |       |clan                |1              |
|          |caverns             |5              |     |       |engaged             |1              |
|          |dessert             |5              |     |       |book                |1              |
|          |signal              |5              |     |       |israfel             |1              |
|          |drawn               |5              |     |       |unawares            |1              |
|          |fond                |5              |     |       |occupied            |1              |
|          |olive               |5              |     |       |ralph               |1              |
|          |thanks              |5              |     |       |portray             |1              |
|          |ventured            |5              |     |       |deductible          |1              |
|          |watch               |5              |     |       |librarian           |1              |
|          |empty               |5              |     |       |party               |1              |
|          |broad               |5              |     |       |spoke               |1              |
|          |marks               |5              |     |       |infirmity           |1              |
|          |afresh              |5              |     |       |flutter             |1              |
|          |crushed             |5              |     |       |judgement           |1              |
|          |gently              |5              |     |       |objects             |1              |
|          |distribute          |5              |     |       |offers              |1              |
|          |admire              |5              |     |       |vanishing           |1              |
|          |dangers             |5              |     |       |consecrating        |1              |
|          |sticks              |5              |     |       |gruesome            |1              |
|          |forest              |5              |     |       |shows               |1              |
|          |accepted            |5              |     |       |pencil              |1              |
|          |tuesday             |5              |     |       |enthusiastic        |1              |
|          |skeleton            |5              |     |       |ill-paid            |1              |
|          |painful             |5              |     |       |foil                |1              |
|          |anxiety             |5              |     |       |opening             |1              |
|          |slight              |5              |     |       |rival               |1              |
|          |salt                |5              |     |       |sublimer            |1              |
|          |mica                |5              |     |       |chiefly             |1              |
|          |islet               |5              |     |       |lived               |1              |
|          |hidden              |5              |     |       |paracelsus          |1              |
|          |possess             |5              |     |       |stir                |1              |
|          |fallen              |5              |     |       |charities           |1              |
|          |certainty           |5              |     |       |increasing          |1              |
|          |biscuits            |5              |     |       |compensation        |1              |
|          |groups              |5              |     |       |freshly             |1              |
|          |outstretched        |5              |     |       |love-poem           |1              |
|          |windings            |5              |     |       |wind-swept          |1              |
|          |cargo               |5              |     |       |precisely           |1              |
|          |mediterranean       |5              |     |       |hideously           |1              |
|          |article             |5              |     |       |swellings           |1              |
|          |recognise           |5              |     |       |pont-au-change      |1              |
|          |curiosity           |5              |     |       |fate                |1              |
|          |bare                |5              |     |       |uniqueness          |1              |
|          |smooth              |5              |     |       |processes           |1              |
|          |comfort             |5              |     |       |sermons             |1              |
|          |fate                |5              |     |       |notifies            |1              |
|          |disorder            |5              |     |       |bounds              |1              |
|          |evidence            |5              |     |       |weakness            |1              |
|          |constant            |5              |     |       |secrets             |1              |
|          |gentlemen           |5              |     |       |names               |1              |
|          |creep               |5              |     |       |streams             |1              |
|          |sparkling           |5              |     |       |sigh                |1              |
|          |fires               |5              |     |       |flitting            |1              |
|          |lives               |5              |     |       |obtained            |1              |
|          |notwithstanding     |5              |     |       |measure             |1              |
|          |sunday              |5              |     |       |promotion           |1              |
|          |magnetic            |5              |     |       |granted             |1              |
|          |nineteen            |5              |     |       |exercise            |1              |
|          |ended               |5              |     |       |decorum             |1              |
|          |calculated          |5              |     |       |chapter             |1              |
|          |wretched            |5              |     |       |perfection          |1              |
|          |bleeding            |5              |     |       |tale                |1              |
|          |skull               |5              |     |       |statements          |1              |
|          |purpose             |5              |     |       |implied             |1              |
|          |heated              |5              |     |       |pay                 |1              |
|          |struggle            |5              |     |       |tenebrose           |1              |
|          |revealed            |5              |     |       |trails              |1              |
|          |forces              |5              |     |       |mistrust            |1              |
|          |spire               |5              |     |       |constant            |1              |
|          |pre-adamite         |5              |     |       |half-portrayed      |1              |
|          |mineral             |5              |     |       |depend              |1              |
|          |transition          |5              |     |       |viewed              |1              |
|          |opportunity         |5              |     |       |scenic              |1              |
|          |molten              |5              |     |       |scarce              |1              |
|          |hospitality         |5              |     |       |wrested             |1              |
|          |version             |5              |     |       |source              |1              |
|          |figures             |5              |     |       |affliction          |1              |
|          |shape               |5              |     |       |exaltation          |1              |
|          |remembered          |5              |     |       |damaged             |1              |
|          |event               |4              |     |       |motionless          |1              |
|          |jet                 |4              |     |       |govern              |1              |
|          |drawing             |4              |     |       |substitution        |1              |
|          |e                   |4              |     |       |jest's              |1              |
|          |estimated           |4              |     |       |shortly             |1              |
|          |belongs             |4              |     |       |stroke              |1              |
|          |weary               |4              |     |       |among               |1              |
|          |shadows             |4              |     |       |cenci               |1              |
|          |assistance          |4              |     |       |carry               |1              |
|          |flung               |4              |     |       |wild                |1              |
|          |answering           |4              |     |       |numerous            |1              |
|          |shelter             |4              |     |       |bad                 |1              |
|          |drink               |4              |     |       |phases              |1              |
|          |soul                |4              |     |       |uncanny             |1              |
|          |soup                |4              |     |       |holds               |1              |
|          |absolute            |4              |     |       |incident            |1              |
|          |snowy               |4              |     |       |lang's              |1              |
|          |spare               |4              |     |       |floweth             |1              |
|          |giant               |4              |     |       |unbroken            |1              |
|          |gloomy              |4              |     |       |eternity            |1              |
|          |leaning             |4              |     |       |holy                |1              |
|          |matters             |4              |     |       |clear               |1              |
|          |minerals            |4              |     |       |griswold's          |1              |
|          |covering            |4              |     |       |subscribe           |1              |
|          |black               |4              |     |       |shorn               |1              |
|          |tortoise            |4              |     |       |overrate            |1              |
|          |flashes             |4              |     |       |articles            |1              |
|          |weighed             |4              |     |       |genuineness         |1              |
|          |violently           |4              |     |       |frequent            |1              |
|          |communication       |4              |     |       |pen                 |1              |
|          |landed              |4              |     |       |shines              |1              |
|          |compelled           |4              |     |       |danger-line         |1              |
|          |belonging           |4              |     |       |conversely          |1              |
|          |darted              |4              |     |       |interior            |1              |
|          |displaying          |4              |     |       |finds               |1              |
|          |pickaxes            |4              |     |       |wisdom              |1              |
|          |included            |4              |     |       |refutations         |1              |
|          |gneiss              |4              |     |       |boyish              |1              |
|          |various             |4              |     |       |conceived           |1              |
|          |sufferings          |4              |     |       |miranda             |1              |
|          |showed              |4              |     |       |provisions          |1              |
|          |murmur              |4              |     |       |habitation          |1              |
|          |questioned          |4              |     |       |practically         |1              |
|          |figure              |4              |     |       |family              |1              |
|          |proceeded           |4              |     |       |request             |1              |
|          |fault               |4              |     |       |flowery             |1              |
|          |fastened            |4              |     |       |required            |1              |
|          |forty-eight         |4              |     |       |fastidious          |1              |
|          |generated           |4              |     |       |detach              |1              |
|          |draught             |4              |     |       |meant               |1              |
|          |cease               |4              |     |       |assist              |1              |
|          |fees                |4              |     |       |enter               |1              |
|          |impetuous           |4              |     |       |printing            |1              |
|          |to-day              |4              |     |       |contrasted          |1              |
|          |night's             |4              |     |       |winter              |1              |
|          |sliding             |4              |     |       |rumpled             |1              |
|          |succeed             |4              |     |       |enchanted           |1              |
|          |revolving           |4              |     |       |boyhood             |1              |
|          |marine              |4              |     |       |state's             |1              |
|          |ruled               |4              |     |       |encouragement       |1              |
|          |parts               |4              |     |       |defeat              |1              |
|          |party               |4              |     |       |roget               |1              |
|          |hungry              |4              |     |       |synonymous          |1              |
|          |physical            |4              |     |       |startled            |1              |
|          |limestone           |4              |     |       |baudelaire          |1              |
|          |package             |4              |     |       |ease                |1              |
|          |imagined            |4              |     |       |wondering           |1              |
|          |surturbrand         |4              |     |       |ill-balanced        |1              |
|          |owner               |4              |     |       |sheeted             |1              |
|          |considered          |4              |     |       |preached            |1              |
|          |countries           |4              |     |       |ancestral           |1              |
|          |monstrous           |4              |     |       |path                |1              |
|          |crushing            |4              |     |       |seductive           |1              |
|          |editions            |4              |     |       |shiftings           |1              |
|          |lighting            |4              |     |       |revenue             |1              |
|          |sorry               |4              |     |       |conqueror           |1              |
|          |proportion          |4              |     |       |despair             |1              |
|          |hills               |4              |     |       |zip                 |1              |
|          |strap               |4              |     |       |building            |1              |
|          |kindness            |4              |     |       |gives               |1              |
|          |immediate           |4              |     |       |play                |1              |
|          |piled               |4              |     |       |past                |1              |
|          |tossed              |4              |     |       |provision           |1              |
|          |ashamed             |4              |     |       |profits             |1              |
|          |tower               |4              |     |       |pass                |1              |
|          |chemical            |4              |     |       |fitted              |1              |
|          |quartz              |4              |     |       |legended            |1              |
|          |indicate            |4              |     |       |tuckerman           |1              |
|          |dr                  |4              |     |       |consistent          |1              |
|          |safe                |4              |     |       |disclaim            |1              |
|          |promontory          |4              |     |       |uncertainties       |1              |
|          |dried               |4              |     |       |e-mail              |1              |
|          |published           |4              |     |       |checks              |1              |
|          |nd                  |4              |     |       |countries           |1              |
|          |route               |4              |     |       |evident             |1              |
|          |described           |4              |     |       |perils              |1              |
|          |lightly             |4              |     |       |seas                |1              |
|          |applicable          |4              |     |       |perfumed            |1              |
|          |agony               |4              |     |       |seat                |1              |
|          |filling             |4              |     |       |devotion            |1              |
|          |straits             |4              |     |       |elements            |1              |
|          |strand              |4              |     |       |tennyson            |1              |
|          |deposits            |4              |     |       |wanderer            |1              |
|          |splendour           |4              |     |       |awakes              |1              |
|          |entitled            |4              |     |       |absurd              |1              |
|          |optical             |4              |     |       |supersede           |1              |
|          |providing           |4              |     |       |demon               |1              |
|          |intended            |4              |     |       |wandered            |1              |
|          |appears             |4              |     |       |fashionable         |1              |
|          |prepare             |4              |     |       |professor           |1              |
|          |pain                |4              |     |       |lot                 |1              |
|          |trunks              |4              |     |       |low                 |1              |
|          |pace                |4              |     |       |hoyt's              |1              |
|          |pack                |4              |     |       |substantially       |1              |
|          |serpents            |4              |     |       |coleridge's         |1              |
|          |girl                |4              |     |       |gold                |1              |
|          |error               |4              |     |       |arbiters            |1              |
|          |applied             |4              |     |       |whatever            |1              |
|          |secondary           |4              |     |       |vibrating           |1              |
|          |enjoy               |4              |     |       |lurid               |1              |
|          |distributed         |4              |     |       |seen                |1              |
|          |display             |4              |     |       |singular            |1              |
|          |occasion            |4              |     |       |material            |1              |
|          |inside              |4              |     |       |repeated            |1              |
|          |errors              |4              |     |       |either              |1              |
|          |echoes              |4              |     |       |fairbanks           |1              |
|          |objections          |4              |     |       |feeling             |1              |
|          |assuredly           |4              |     |       |october             |1              |
|          |reservoir           |4              |     |       |adore               |1              |
|          |stunned             |4              |     |       |corbies             |1              |
|          |seriously           |4              |     |       |supposed            |1              |
|          |requirements        |4              |     |       |one--the            |1              |
|          |bears               |4              |     |       |ended               |1              |
|          |deposited           |4              |     |       |grief               |1              |
|          |strike              |4              |     |       |mankind             |1              |
|          |borne               |4              |     |       |whitman             |1              |
|          |cemetery            |4              |     |       |nevertheless        |1              |
|          |paces               |4              |     |       |new-york            |1              |
|          |mouthfuls           |4              |     |       |hypertext           |1              |
|          |tempest             |4              |     |       |theme—the           |1              |
|          |shudder             |4              |     |       |burned              |1              |
|          |arches              |4              |     |       |discontinue         |1              |
|          |beach               |4              |     |       |tells               |1              |
|          |skin                |4              |     |       |hundreds            |1              |
|          |using               |4              |     |       |worshipper          |1              |
|          |ordinary            |4              |     |       |shapes              |1              |
|          |hypotheses          |4              |     |       |antipathetical      |1              |
|          |losing              |4              |     |       |failure             |1              |
|          |combinations        |4              |     |       |thereof             |1              |
|          |former              |4              |     |       |spectres            |1              |
|          |england             |4              |     |       |mourner's           |1              |
|          |sorrow              |4              |     |       |crest               |1              |
|          |break               |4              |     |       |lifting             |1              |
|          |similar             |4              |     |       |supernal            |1              |
|          |projecting          |4              |     |       |intertwine          |1              |
|          |projection          |4              |     |       |star-eyed           |1              |
|          |risk                |4              |     |       |struck              |1              |
|          |audience            |4              |     |       |bards               |1              |
|          |resistance          |4              |     |       |inspire             |1              |
|          |twenty-four         |4              |     |       |attention           |1              |
|          |inner               |4              |     |       |pseudo-editorial    |1              |
|          |takes               |4              |     |       |gushed              |1              |
|          |anger               |4              |     |       |fluent              |1              |
|          |dull                |4              |     |       |resulted            |1              |
|          |decidedly           |4              |     |       |strives             |1              |
|          |quaternary          |4              |     |       |defects             |1              |
|          |frequently          |4              |     |       |sacred              |1              |
|          |pleased             |4              |     |       |lured               |1              |
|          |heavily             |4              |     |       |griswold            |1              |
|          |ascertained         |4              |     |       |statue-stone        |1              |
|          |wore                |4              |     |       |anything            |1              |
|          |cones               |4              |     |       |devised             |1              |
|          |admiration          |4              |     |       |learned             |1              |
|          |lizard              |4              |     |       |gaze                |1              |
|          |thanked             |4              |     |       |actual              |1              |
|          |specimen            |4              |     |       |core                |1              |
|          |flames              |4              |     |       |melodrama           |1              |
|          |armchair            |4              |     |       |corporation         |1              |
|          |boldly              |4              |     |       |calculated          |1              |
|          |farthest            |4              |     |       |silently            |1              |
|          |portions            |4              |     |       |income              |1              |
|          |method              |4              |     |       |gathering           |1              |
|          |pangs               |4              |     |       |musician            |1              |
|          |arrive              |4              |     |       |planetary           |1              |
|          |provision           |4              |     |       |throbbing           |1              |
|          |satisfied           |4              |     |       |irretrievable       |1              |
|          |recruit             |4              |     |       |improvements        |1              |
|          |elements            |4              |     |       |tempts              |1              |
|          |blade               |4              |     |       |suffice             |1              |
|          |sinking             |4              |     |       |suddenly            |1              |
|          |cost                |4              |     |       |parian              |1              |
|          |labelled            |4              |     |       |disconcert          |1              |
|          |avoid               |4              |     |       |nodded              |1              |
|          |remote              |4              |     |       |remove              |1              |
|          |saturday            |4              |     |       |chartered           |1              |
|          |goes                |4              |     |       |souls               |1              |
|          |format              |4              |     |       |secure              |1              |
|          |barren              |4              |     |       |hallucination       |1              |
|          |chances             |4              |     |       |fairly              |1              |
|          |explained           |4              |     |       |modern              |1              |
|          |principal           |4              |     |       |indirectly          |1              |
|          |peak                |4              |     |       |excellence          |1              |
|          |ahead               |4              |     |       |remarkable          |1              |
|          |plunged             |4              |     |       |keenest             |1              |
|          |meeting             |4              |     |       |oft-told            |1              |
|          |fled                |4              |     |       |rationale           |1              |
|          |breeze              |4              |     |       |atlantis            |1              |
|          |late                |4              |     |       |afforded            |1              |
|          |incredulity         |4              |     |       |les                 |1              |
|          |undertaking         |4              |     |       |prelude             |1              |
|          |assumed             |4              |     |       |haunted—tell        |1              |
|          |expense             |4              |     |       |far-off             |1              |
|          |attacked            |4              |     |       |tossed              |1              |
|          |illusion            |4              |     |       |bald                |1              |
|          |needed              |4              |     |       |anguish             |1              |
|          |resting             |4              |     |       |stored              |1              |
|          |ascend              |4              |     |       |notions             |1              |
|          |shifting            |4              |     |       |periodic            |1              |
|          |remembrance         |4              |     |       |prison              |1              |
|          |die                 |4              |     |       |bug                 |1              |
|          |vertically          |4              |     |       |taxes               |1              |
|          |yielding            |4              |     |       |swift               |1              |
|          |ray                 |4              |     |       |hither              |1              |
|          |coasts              |4              |     |       |moods               |1              |
|          |disturb             |4              |     |       |herein              |1              |
|          |gardär              |4              |     |       |undo                |1              |
|          |biscuit             |4              |     |       |adds                |1              |
|          |village             |4              |     |       |never—nevermore     |1              |
|          |equilibrium         |4              |     |       |censer              |1              |
|          |reserved            |4              |     |       |pitiable            |1              |
|          |hero                |4              |     |       |totally             |1              |
|          |easier              |4              |     |       |enfolds             |1              |
|          |herd                |4              |     |       |admired             |1              |
|          |reckoned            |4              |     |       |casement            |1              |
|          |tears               |4              |     |       |reprinted           |1              |
|          |flow                |4              |     |       |stronger            |1              |
|          |signs               |4              |     |       |middle-aged         |1              |
|          |laugh               |4              |     |       |incarnation         |1              |
|          |dreaming            |4              |     |       |exposure            |1              |
|          |ascended            |4              |     |       |madam               |1              |
|          |incomprehensible    |4              |     |       |convert             |1              |
|          |contemplations      |4              |     |       |palpably            |1              |
|          |stock               |4              |     |       |north               |1              |
|          |reminded            |4              |     |       |footing             |1              |
|          |roarings            |4              |     |       |hoaxes              |1              |
|          |cuvier              |4              |     |       |afterward           |1              |
